Name,Address,City,Date,Zipcode,Start Time,End Time,Longitude,Latitude,Area of the City,Type,Hours,Election Code
ACC Riverside Campus,1020 Grove Boulevard ,Austin,10/27/2014,78741,8:00,17:00,-97.70525,30.23688,SE,EM,V,G14
ACC South Austin Campus,1820 West Stassney Lane  ,Austin,10/27/2014,78745,8:00,19:00,-97.795959,30.21565,S,EM,V,G14
Austin City Hall,301 West 2nd Street (Media Room) ,Austin,10/27/2014,78701,7:00,19:00,-97.747271,30.26484,C,EM,V,G14
Community Center at Jonestown,"18649 FM 1431, Suite 6A ",Jonestown,10/27/2014,78645,9:00,17:00,-97.923803,30.491765,NW,EM,V,G14
Manor ISD Administration Building,10335 Hwy 290 East ,Manor,10/27/2014,78653,7:00,19:00,-97.573453,30.344649,E,EM,V,G14
Southeast Branch Public Library,5803 Nuckols Crossing Road ,Austin,10/27/2014,78744,10:00,19:00,-97.74195,30.187583,SE,EM,V,G14
Wheatsville Food Co-op South Lamar,4001 South Lamar Blvd. ,Austin,10/27/2014,78704,8:00,19:00,-97.791032,30.235728,S,EM,V,G14
ACC Eastview Campus,3401 Webberville Road ,Austin,10/28/2014,78702,8:00,19:00,-97.70696,30.26834,E,EM,V,G14
ACC Rio Grande Campus,1212 Rio Grande Street ,Austin,10/28/2014,78701,8:00,19:00,-97.7471,30.27648,C,EM,V,G14
ACC South Austin Campus,1820 West Stassney Lane  ,Austin,10/28/2014,78745,8:00,19:00,-97.795959,30.21565,S,EM,V,G14
Austin City Hall,301 West 2nd Street (Media Room) ,Austin,10/28/2014,78701,7:00,19:00,-97.747271,30.26484,C,EM,V,G14
Cambridge Villas Senior Apartments,15711 Dessau Road ,Pflugerville,10/28/2014,78660,12:00,14:00,-97.621551,30.430766,NE,EM,V,G14
Conservatory at Wells Branch,14320 Tandem Boulevard ,Austin,10/28/2014,78728,16:00,18:00,-97.694979,30.444197,NW,EM,V,G14
Emeritus at Spicewood Springs,4401 Spicewood Springs Road ,Austin,10/28/2014,78759,9:00,11:00,-97.758826,30.372289,NW,EM,V,G14
Heartland Health Care Center,11406 Rustic Rock Drive ,Austin,10/28/2014,78750,13:00,15:00,-97.782571,30.429924,NW,EM,V,G14
Heatherwilde Assisted Living,401 South Heatherwilde Boulevard ,Pflugerville,10/28/2014,78660,8:00,10:00,-97.640862,30.444595,NE,EM,V,G14
Manor ISD Administration Building,10335 Hwy 290 East ,Manor,10/28/2014,78653,7:00,19:00,-97.573453,30.344649,E,EM,V,G14
Travis County Commissioners Court,700 Lavaca Street ,Austin,10/28/2014,78701,8:00,17:00,-97.745211,30.270243,C,EM,V,G14
Wheatsville Food Co-op South Lamar,4001 South Lamar Blvd. ,Austin,10/28/2014,78704,8:00,19:00,-97.791032,30.235728,S,EM,V,G14
ACC Eastview Campus,3401 Webberville Road ,Austin,10/29/2014,78702,8:00,19:00,-97.70696,30.26834,E,EM,V,G14
ACC Rio Grande Campus,1212 Rio Grande Street ,Austin,10/29/2014,78701,8:00,19:00,-97.7471,30.27648,C,EM,V,G14
ACC South Austin Campus,1820 West Stassney Lane  ,Austin,10/29/2014,78745,8:00,19:00,-97.795959,30.21565,S,EM,V,G14
Austin City Hall,301 West 2nd Street (Media Room) ,Austin,10/29/2014,78701,7:00,19:00,-97.747271,30.26484,C,EM,V,G14
Cantu/Pan Am Recreation Center,2100 East 3rd Street ,Austin,10/29/2014,78702,13:00,17:00,-97.720878,30.258039,E,EM,V,G14
Concordia University,11400 Concordia University Drive (Main Lobby-Bldg A) ,Austin,10/29/2014,78726,9:00,17:00,-97.836685,30.420071,NW,EM,V,G14
H.M. Sweatt County Courthouse,"1000 Guadalupe Street, 1st Floor ",Austin,10/29/2014,78701,8:00,17:00,-97.74517,30.27325,C,EM,V,G14
Manor ISD Administration Building,10335 Hwy 290 East ,Manor,10/29/2014,78653,7:00,19:00,-97.573453,30.344649,E,EM,V,G14
Wheatsville Food Co-op South Lamar,4001 South Lamar Blvd. ,Austin,10/29/2014,78704,8:00,19:00,-97.791032,30.235728,S,EM,V,G14
ACC Eastview Campus,3401 Webberville Road ,Austin,10/30/2014,78702,8:00,19:00,-97.70696,30.26834,E,EM,V,G14
ACC Rio Grande Campus,1212 Rio Grande Street ,Austin,10/30/2014,78701,8:00,19:00,-97.7471,30.27648,C,EM,V,G14
ACC South Austin Campus,1820 West Stassney Lane  ,Austin,10/30/2014,78745,8:00,19:00,-97.795959,30.21565,S,EM,V,G14
Austin City Hall,301 West 2nd Street (Media Room) ,Austin,10/30/2014,78701,7:00,19:00,-97.747271,30.26484,C,EM,V,G14
Emeritus at Beckett Meadows,7709 Beckett Road ,Austin,10/30/2014,78749,16:00,18:00,-97.86066,30.21802,SW,EM,V,G14
H.M. Sweatt County Courthouse,"1000 Guadalupe Street, 1st Floor ",Austin,10/30/2014,78701,8:00,17:00,-97.74517,30.27325,C,EM,V,G14
Manor ISD Administration Building,10335 Hwy 290 East ,Manor,10/30/2014,78653,7:00,19:00,-97.573453,30.344649,E,EM,V,G14
St. Edwards University,3001 South Congress Avenue ,Austin,10/30/2014,78704,9:00,18:00,-97.756401,30.229334,S,EM,V,G14
Summit at West Lake Hills,1034 Liberty Park Drive ,Austin,10/30/2014,78746,12:00,14:00,-97.787633,30.26775,W,EM,V,G14
Wheatsville Food Co-op South Lamar,4001 South Lamar Blvd. ,Austin,10/30/2014,78704,8:00,19:00,-97.791032,30.235728,S,EM,V,G14
ACC Eastview Campus,3401 Webberville Road ,Austin,10/31/2014,78702,8:00,19:00,-97.70696,30.26834,E,EM,V,G14
ACC Rio Grande Campus,1212 Rio Grande Street ,Austin,10/31/2014,78701,8:00,19:00,-97.7471,30.27648,C,EM,V,G14
ACC South Austin Campus,1820 West Stassney Lane  ,Austin,10/31/2014,78745,8:00,19:00,-97.795959,30.21565,S,EM,V,G14
Austin City Hall,301 West 2nd Street (Media Room) ,Austin,10/31/2014,78701,7:00,19:00,-97.747271,30.26484,C,EM,V,G14
Longhorn Village,12501 Longhorn  Parkway,Austin,10/31/2014,78732,13:00,15:00,-97.911122,30.351019,W,EM,V,G14
Manor ISD Administration Building,10335 Hwy 290 East ,Manor,10/31/2014,78653,7:00,19:00,-97.573453,30.344649,E,EM,V,G14
South Rural Community Center,3518 South FM 973 ,Del Valle,10/31/2014,78617,9:00,17:00,-97.642107,30.198738,SE,EM,V,G14
Summit at Lakeway,1915 Lohmans Crossing Road ,Austin,10/31/2014,78734,8:00,10:00,-97.97652,30.34772,NW,EM,V,G14
Wheatsville Food Co-op South Lamar,4001 South Lamar Blvd. ,Austin,10/31/2014,78704,8:00,19:00,-97.791032,30.235728,S,EM,V,G14
Sam Houston Building,201 East 14th Street,Austin,10/31/2014,78701,8:00,17:00,-97.73859,30.27514,C,EM,V,G14
